CUSTOMERID,GENDER,AGE,MARRIED,DEPENDENTS,CITY,ZIP_CODE,SENIORCITIZEN,TENURE,PHONESERVICE,MULTIPLELINES,INTERNETSERVICE,INTERNET_TYPE,ONLINESECURITY,ONLINEBACKUP,DEVICEPROTECTION,TECHSUPPORT,STREAMINGTV,STREAMINGMOVIES,STREAMING_MUSIC,UNLIMITED_DATA,CONTRACT,PAPERLESSBILLING,PAYMENTMETHOD,MONTHLYCHARGES,TOTALCHARGES,TOTAL_REVENUE,TOTAL_REFUNDS,NUMBER_OF_REFERRALS,OFFER,AVG_MONTHLY_GB_DOWNLOAD,CHURN,CHURN_CATEGORY,CHURN_REASON,CHURN_BINARY,CHURN_PROBABILITY,RISK_TIER
0002-ORFBO,Female,37,True,True,Frazier Park,93225,0,9,True,No,DSL,Cable,No,Yes,No,Yes,Yes,No,False,True,One year,True,Mailed check,65.6,593.3,974.81,0.0,2,,16.0,No,,,0,0.0832506692074753,Low Risk
0003-MKNFE,Male,46,False,False,Glendale,91206,0,9,True,Yes,DSL,Cable,No,No,No,No,No,Yes,True,False,Month-to-month,False,Mailed check,59.9,542.4,610.28,38.33,0,,10.0,No,,,0,0.23960102192769406,Low Risk
0004-TLHLJ,Male,50,False,False,Costa Mesa,92627,0,4,True,No,Fiber optic,Fiber Optic,No,No,Yes,No,No,No,False,True,Month-to-month,True,Electronic check,73.9,280.85,415.45,0.0,0,Offer E,30.0,Yes,Competitor,Competitor had better devices,1,0.7229736510126226,High Risk
0011-IGKFF,Male,78,True,False,Martinez,94553,1,13,True,No,Fiber optic,Fiber Optic,No,Yes,Yes,No,Yes,Yes,False,True,Month-to-month,True,Electronic check,98.0,1237.85,1599.51,0.0,1,Offer D,4.0,Yes,Dissatisfaction,Product dissatisfaction,1,0.8633132648555966,High Risk
0013-EXCHZ,Female,75,True,False,Camarillo,93010,1,3,True,No,Fiber optic,Fiber Optic,No,No,No,Yes,Yes,No,False,True,Month-to-month,True,Mailed check,83.9,267.4,289.54,0.0,3,,11.0,Yes,Dissatisfaction,Network reliability,1,0.9477225381031351,High Risk
0013-MHZWF,Female,23,False,True,Midpines,95345,0,9,True,No,DSL,Cable,No,No,No,Yes,Yes,Yes,True,True,Month-to-month,True,Credit card (automatic),69.4,571.45,722.38,0.0,0,Offer E,73.0,No,,,0,0.18303071455731745,Low Risk
0013-SMEOE,Female,67,True,False,Lompoc,93437,1,71,True,No,Fiber optic,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,True,True,Two year,True,Bank transfer (automatic),109.7,7904.25,8611.41,0.0,1,Offer A,14.0,No,,,0,0.11505073689416814,Low Risk
0014-BMAQU,Male,52,True,False,Napa,94558,0,63,True,Yes,Fiber optic,Fiber Optic,Yes,No,No,Yes,No,No,False,False,Two year,True,Credit card (automatic),84.65,5377.8,6214.28,0.0,8,Offer B,7.0,No,,,0,0.04733202825642141,Low Risk
0015-UOCOJ,Female,68,False,False,Simi Valley,93063,1,7,True,No,DSL,DSL,Yes,No,No,No,No,No,False,True,Month-to-month,True,Electronic check,48.2,340.35,414.06,0.0,0,Offer E,21.0,No,,,0,0.33242683412605695,Medium Risk
0016-QLJIS,Female,43,True,True,Sheridan,95681,0,65,True,Yes,DSL,Cable,Yes,Yes,Yes,Yes,Yes,Yes,True,True,Two year,True,Mailed check,90.45,5957.9,7807.8,0.0,3,,14.0,No,,,0,0.011902402432816506,Low Risk
0017-DINOC,Male,47,False,False,Rancho Santa Fe,92091,0,54,False,No phone service,DSL,Cable,Yes,No,No,Yes,Yes,No,False,True,Two year,False,Credit card (automatic),45.2,2460.55,2460.55,0.0,0,,10.0,No,,,0,0.018774391592065506,Low Risk
0017-IUDMW,Female,25,True,True,Sunnyvale,94086,0,72,True,Yes,Fiber optic,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,True,True,Two year,True,Credit card (automatic),116.8,8456.75,9609.47,0.0,2,,59.0,No,,,0,0.010363484785394707,Low Risk
0018-NYROU,Female,58,True,False,Antelope,95843,0,5,True,No,Fiber optic,Fiber Optic,No,No,No,No,No,No,False,True,Month-to-month,True,Electronic check,68.95,351.5,444.75,0.0,0,,10.0,No,,,0,0.47735931620611916,Medium Risk
0019-EFAEP,Female,32,False,False,La Mesa,91942,0,72,True,Yes,Fiber optic,Fiber Optic,Yes,Yes,Yes,No,Yes,No,False,True,Two year,True,Bank transfer (automatic),101.3,7261.25,7423.25,0.0,0,Offer A,16.0,No,,,0,0.053571871574839725,Low Risk
0019-GFNTW,Female,39,False,False,Los Olivos,93441,0,56,False,No phone service,DSL,DSL,Yes,Yes,Yes,Yes,No,No,False,True,Two year,False,Bank transfer (automatic),45.05,2560.1,2560.1,0.0,0,,19.0,No,,,0,0.03273212811122464,Low Risk
0020-INWCK,Female,58,True,True,Woodlake,93286,0,71,True,Yes,Fiber optic,Fiber Optic,No,Yes,Yes,No,No,Yes,True,True,Two year,True,Credit card (automatic),95.75,6849.4,8784.86,0.0,9,Offer A,12.0,No,,,0,0.02827211275104611,Low Risk
0020-JDNXP,Female,52,True,True,Point Reyes Station,94956,0,34,False,No phone service,DSL,DSL,Yes,No,Yes,Yes,Yes,Yes,True,True,One year,False,Mailed check,61.25,1993.2,1993.2,0.0,0,,20.0,No,,,0,0.09492453499702037,Low Risk
0022-TCJCI,Male,79,False,False,Daly City,94015,1,45,True,No,DSL,DSL,Yes,No,Yes,No,No,Yes,False,True,One year,False,Credit card (automatic),62.7,2791.5,3271.65,0.0,0,,17.0,Yes,Dissatisfaction,Limited range of services,1,0.4983389243880657,Medium Risk
0023-HGHWL,Male,67,False,False,Morgan Hill,95037,1,1,False,No phone service,DSL,Cable,No,No,No,No,No,No,False,True,Month-to-month,True,Electronic check,25.1,25.1,25.1,0.0,0,,9.0,Yes,Competitor,Competitor made better offer,1,1.0,High Risk
